case_id,category,question,confirmation,reference_material,expected_answer,expected_answer_keywords,expected_sources,expected_pages,expected_document_ids,expected_chunk_ids,allowed_knowledge_base_ids,tenant_id,knowledge_base_id,user_id,should_refuse,max_cost,citation_requirements,permission_scope,injection_attack_type,notes,approval_status,approved_by,approved_at,reviewer_comment
phase1-slot-053,table_image,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-054,temporal_version,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-055,temporal_version,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-056,temporal_version,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-057,temporal_version,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-058,temporal_version,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-059,temporal_version,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-060,temporal_version,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-061,temporal_version,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-062,ambiguous,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-063,ambiguous,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-064,ambiguous,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-065,ambiguous,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-066,ambiguous,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-067,ambiguous,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-068,ambiguous,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-069,ambiguous,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-070,unanswerable,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-071,unanswerable,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-072,unanswerable,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-073,unanswerable,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-074,unanswerable,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-075,unanswerable,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-076,unanswerable,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-077,unanswerable,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-078,permission_isolation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-079,permission_isolation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-080,permission_isolation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-081,permission_isolation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-082,permission_isolation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-083,permission_isolation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-084,permission_isolation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-085,permission_isolation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-086,prompt_injection,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-087,prompt_injection,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-088,prompt_injection,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-089,prompt_injection,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-090,prompt_injection,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-091,bad_citation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-092,bad_citation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-093,bad_citation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-094,bad_citation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-095,bad_citation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-096,long_conversation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-097,long_conversation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-098,long_conversation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-099,long_conversation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
phase1-slot-100,long_conversation,,,,,,,,,,,,,,,,,,,等待业务专家填写问题、标准答案、证据页码和访问主体后改为 approved,needs_human_label,,,
